Episode 740, Avg Reward: 281.67, Best Reward: 757.10, remain_bees: 46, step: 26
Episode 750, Avg Reward: 243.35, Best Reward: 757.10, remain_bees: 46, step: 195
Episode 760, Avg Reward: 325.76, Best Reward: 757.10, remain_bees: 45, step: 112
Episode 770, Avg Reward: 246.39, Best Reward: 757.10, remain_bees: 48, step: 50
Episode 780, Avg Reward: 275.65, Best Reward: 757.10, remain_bees: 48, step: 75
Episode 790, Avg Reward: 216.82, Best Reward: 757.10, remain_bees: 47, step: 139
Episode 800, Avg Reward: 247.50, Best Reward: 757.10, remain_bees: 48, step: 114
Episode 810, Avg Reward: 326.16, Best Reward: 757.10, remain_bees: 47, step: 179
Episode 820, Avg Reward: 222.19, Best Reward: 757.10, remain_bees: 48, step: 39
Episode 830, Avg Reward: 240.51, Best Reward: 757.10, remain_bees: 50, step: 82
Episode 840, Avg Reward: 316.36, Best Reward: 757.10, remain_bees: 48, step: 155
Episode 850, Avg Reward: 266.26, Best Reward: 757.10, remain_bees: 47, step: 91
Episode 860, Avg Reward: 276.79, Best Reward: 757.10, remain_bees: 43, step: 239
Episode 870, Avg Reward: 265.91, Best Reward: 757.10, remain_bees: 46, step: 171
Episode 880, Avg Reward: 312.14, Best Reward: 757.10, remain_bees: 45, step: 196
Episode 890, Avg Reward: 282.16, Best Reward: 757.10, remain_bees: 47, step: 78
Episode 900, Avg Reward: 255.37, Best Reward: 757.10, remain_bees: 47, step: 39
Episode 910, Avg Reward: 246.00, Best Reward: 757.10, remain_bees: 47, step: 110
Episode 920, Avg Reward: 255.92, Best Reward: 757.10, remain_bees: 46, step: 279
Episode 930, Avg Reward: 265.97, Best Reward: 757.10, remain_bees: 45, step: 119
Episode 940, Avg Reward: 192.56, Best Reward: 757.10, remain_bees: 47, step: 153
Episode 950, Avg Reward: 276.30, Best Reward: 757.10, remain_bees: 48, step: 104
Episode 960, Avg Reward: 219.19, Best Reward: 757.10, remain_bees: 50, step: 33
Episode 970, Avg Reward: 192.45, Best Reward: 757.10, remain_bees: 47, step: 82
Episode 980, Avg Reward: 226.67, Best Reward: 757.10, remain_bees: 48, step: 201
Episode 990, Avg Reward: 286.23, Best Reward: 757.10, remain_bees: 47, step: 157
Episode 1000, Avg Reward: 240.69, Best Reward: 757.10, remain_bees: 46, step: 154
Episode 1010, Avg Reward: 317.43, Best Reward: 757.10, remain_bees: 45, step: 140
Episode 1020, Avg Reward: 275.59, Best Reward: 757.10, remain_bees: 46, step: 99
Episode 1030, Avg Reward: 196.07, Best Reward: 757.10, remain_bees: 48, step: 78
Episode 1040, Avg Reward: 253.94, Best Reward: 757.10, remain_bees: 46, step: 55
Episode 1050, Avg Reward: 352.80, Best Reward: 757.10, remain_bees: 46, step: 190
Episode 1060, Avg Reward: 290.32, Best Reward: 757.10, remain_bees: 46, step: 154
Episode 1070, Avg Reward: 308.53, Best Reward: 757.10, remain_bees: 45, step: 188
Episode 1080, Avg Reward: 155.40, Best Reward: 757.10, remain_bees: 45, step: 273
Episode 1090, Avg Reward: 311.38, Best Reward: 757.10, remain_bees: 46, step: 90
Episode 1100, Avg Reward: 308.83, Best Reward: 757.10, remain_bees: 47, step: 254
Episode 1110, Avg Reward: 206.90, Best Reward: 757.10, remain_bees: 49, step: 76
Episode 1120, Avg Reward: 255.72, Best Reward: 757.10, remain_bees: 46, step: 84
Episode 1130, Avg Reward: 239.19, Best Reward: 757.10, remain_bees: 46, step: 77
Episode 1140, Avg Reward: 251.69, Best Reward: 757.10, remain_bees: 48, step: 55
Episode 1150, Avg Reward: 287.07, Best Reward: 757.10, remain_bees: 47, step: 106
Episode 1160, Avg Reward: 249.60, Best Reward: 757.10, remain_bees: 50, step: 54
Episode 1170, Avg Reward: 301.42, Best Reward: 757.10, remain_bees: 46, step: 149
Episode 1180, Avg Reward: 226.45, Best Reward: 757.10, remain_bees: 47, step: 59
Episode 1190, Avg Reward: 252.05, Best Reward: 757.10, remain_bees: 47, step: 202
Episode 1200, Avg Reward: 245.89, Best Reward: 757.10, remain_bees: 47, step: 85
Episode 1210, Avg Reward: 266.09, Best Reward: 757.10, remain_bees: 46, step: 180
Episode 1220, Avg Reward: 305.05, Best Reward: 757.10, remain_bees: 46, step: 190
Episode 1230, Avg Reward: 225.67, Best Reward: 757.10, remain_bees: 48, step: 98
Episode 1240, Avg Reward: 282.50, Best Reward: 757.10, remain_bees: 46, step: 212
Episode 1250, Avg Reward: 265.23, Best Reward: 757.10, remain_bees: 46, step: 187
Episode 1260, Avg Reward: 297.66, Best Reward: 757.10, remain_bees: 47, step: 172
Episode 1270, Avg Reward: 336.89, Best Reward: 757.10, remain_bees: 47, step: 83
Episode 1280, Avg Reward: 271.51, Best Reward: 757.10, remain_bees: 47, step: 71
Episode 1290, Avg Reward: 288.58, Best Reward: 757.10, remain_bees: 47, step: 55
Episode 1300, Avg Reward: 196.24, Best Reward: 757.10, remain_bees: 48, step: 94
Episode 1310, Avg Reward: 220.32, Best Reward: 757.10, remain_bees: 47, step: 104
Episode 1320, Avg Reward: 257.77, Best Reward: 757.10, remain_bees: 48, step: 63
Episode 1330, Avg Reward: 260.16, Best Reward: 757.10, remain_bees: 46, step: 131
Episode 1340, Avg Reward: 299.03, Best Reward: 757.10, remain_bees: 43, step: 473
Episode 1350, Avg Reward: 256.31, Best Reward: 757.10, remain_bees: 45, step: 216
Episode 1360, Avg Reward: 285.30, Best Reward: 757.10, remain_bees: 48, step: 47
Episode 1370, Avg Reward: 237.07, Best Reward: 757.10, remain_bees: 46, step: 132
Episode 1380, Avg Reward: 208.99, Best Reward: 757.10, remain_bees: 50, step: 35
Episode 1390, Avg Reward: 293.12, Best Reward: 757.10, remain_bees: 47, step: 182
Episode 1400, Avg Reward: 303.68, Best Reward: 757.10, remain_bees: 45, step: 120
Episode 1410, Avg Reward: 290.50, Best Reward: 757.10, remain_bees: 48, step: 46
Episode 1420, Avg Reward: 289.91, Best Reward: 757.10, remain_bees: 46, step: 126
Episode 1430, Avg Reward: 191.77, Best Reward: 757.10, remain_bees: 46, step: 129
Episode 1440, Avg Reward: 315.81, Best Reward: 757.10, remain_bees: 46, step: 135
Episode 1450, Avg Reward: 267.61, Best Reward: 757.10, remain_bees: 48, step: 66
Episode 1460, Avg Reward: 233.47, Best Reward: 757.10, remain_bees: 49, step: 21
Episode 1470, Avg Reward: 327.33, Best Reward: 757.10, remain_bees: 48, step: 80
Episode 1480, Avg Reward: 252.10, Best Reward: 757.10, remain_bees: 48, step: 55
Episode 1490, Avg Reward: 378.60, Best Reward: 757.10, remain_bees: 46, step: 145
Episode 1500, Avg Reward: 250.47, Best Reward: 757.10, remain_bees: 49, step: 72
Episode 1510, Avg Reward: 265.33, Best Reward: 757.10, remain_bees: 46, step: 181
Episode 1520, Avg Reward: 249.35, Best Reward: 757.10, remain_bees: 49, step: 92
Episode 1530, Avg Reward: 245.21, Best Reward: 757.10, remain_bees: 46, step: 274
Episode 1540, Avg Reward: 270.64, Best Reward: 757.10, remain_bees: 47, step: 91
Episode 1550, Avg Reward: 266.19, Best Reward: 757.10, remain_bees: 48, step: 111
Episode 1560, Avg Reward: 269.70, Best Reward: 757.10, remain_bees: 49, step: 39
Episode 1570, Avg Reward: 218.85, Best Reward: 757.10, remain_bees: 46, step: 101
Episode 1580, Avg Reward: 238.07, Best Reward: 757.10, remain_bees: 48, step: 75
Episode 1590, Avg Reward: 251.45, Best Reward: 757.10, remain_bees: 47, step: 121
Episode 1600, Avg Reward: 260.01, Best Reward: 757.10, remain_bees: 47, step: 114
Episode 1610, Avg Reward: 278.25, Best Reward: 757.10, remain_bees: 44, step: 94
Episode 1620, Avg Reward: 274.66, Best Reward: 757.10, remain_bees: 46, step: 192
Episode 1630, Avg Reward: 287.11, Best Reward: 757.10, remain_bees: 47, step: 76
Episode 1640, Avg Reward: 273.81, Best Reward: 757.10, remain_bees: 47, step: 114
Episode 1650, Avg Reward: 264.40, Best Reward: 757.10, remain_bees: 47, step: 121
Episode 1660, Avg Reward: 267.10, Best Reward: 757.10, remain_bees: 46, step: 235
Episode 1670, Avg Reward: 213.80, Best Reward: 757.10, remain_bees: 48, step: 247
Episode 1680, Avg Reward: 309.97, Best Reward: 757.10, remain_bees: 46, step: 165
Episode 1690, Avg Reward: 266.27, Best Reward: 757.10, remain_bees: 48, step: 71
Episode 1700, Avg Reward: 277.39, Best Reward: 757.10, remain_bees: 46, step: 137
Episode 1710, Avg Reward: 266.21, Best Reward: 757.10, remain_bees: 50, step: 19
Episode 1720, Avg Reward: 250.15, Best Reward: 757.10, remain_bees: 48, step: 44
Episode 1730, Avg Reward: 293.45, Best Reward: 757.10, remain_bees: 44, step: 288
Episode 1740, Avg Reward: 257.93, Best Reward: 757.10, remain_bees: 49, step: 38
Episode 1750, Avg Reward: 305.05, Best Reward: 757.10, remain_bees: 48, step: 52
Episode 1760, Avg Reward: 325.90, Best Reward: 757.10, remain_bees: 48, step: 146
Episode 1770, Avg Reward: 218.04, Best Reward: 757.10, remain_bees: 50, step: 31
Episode 1780, Avg Reward: 324.62, Best Reward: 757.10, remain_bees: 45, step: 120
Episode 1790, Avg Reward: 283.83, Best Reward: 757.10, remain_bees: 45, step: 320
Episode 1800, Avg Reward: 237.87, Best Reward: 757.10, remain_bees: 46, step: 279
Episode 1810, Avg Reward: 150.33, Best Reward: 757.10, remain_bees: 46, step: 234
Episode 1820, Avg Reward: 303.14, Best Reward: 757.10, remain_bees: 47, step: 88
Episode 1830, Avg Reward: 269.20, Best Reward: 757.10, remain_bees: 47, step: 235
Episode 1840, Avg Reward: 272.87, Best Reward: 757.10, remain_bees: 47, step: 57
Episode 1850, Avg Reward: 303.39, Best Reward: 757.10, remain_bees: 46, step: 169
Episode 1860, Avg Reward: 283.70, Best Reward: 770.80, remain_bees: 50, step: 31
Episode 1870, Avg Reward: 263.85, Best Reward: 770.80, remain_bees: 48, step: 162
Episode 1880, Avg Reward: 225.77, Best Reward: 770.80, remain_bees: 47, step: 77
Episode 1890, Avg Reward: 193.55, Best Reward: 770.80, remain_bees: 47, step: 124
Episode 1900, Avg Reward: 248.23, Best Reward: 770.80, remain_bees: 48, step: 126
Episode 1910, Avg Reward: 277.51, Best Reward: 770.80, remain_bees: 46, step: 74
Episode 1920, Avg Reward: 230.65, Best Reward: 770.80, remain_bees: 47, step: 101
Episode 1930, Avg Reward: 255.51, Best Reward: 770.80, remain_bees: 46, step: 339
