Episode 710, Avg Reward: 266.91, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 720, Avg Reward: 233.67, Best Reward: 1681.00, remain_bees: 50, step: 1200
Episode 730, Avg Reward: 345.06, Best Reward: 1681.00, remain_bees: 44, step: 1200
Episode 740, Avg Reward: 263.12, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 750, Avg Reward: 378.18, Best Reward: 1681.00, remain_bees: 45, step: 1200
Episode 760, Avg Reward: 311.68, Best Reward: 1681.00, remain_bees: 44, step: 1200
Episode 770, Avg Reward: 394.39, Best Reward: 1681.00, remain_bees: 47, step: 1200
Episode 780, Avg Reward: 405.06, Best Reward: 1681.00, remain_bees: 42, step: 1200
Episode 790, Avg Reward: 321.91, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 800, Avg Reward: 399.68, Best Reward: 1681.00, remain_bees: 45, step: 1200
Episode 810, Avg Reward: 393.32, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 820, Avg Reward: 268.84, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 830, Avg Reward: 272.09, Best Reward: 1681.00, remain_bees: 43, step: 1200
Episode 840, Avg Reward: 329.78, Best Reward: 1681.00, remain_bees: 42, step: 1200
Episode 850, Avg Reward: 373.75, Best Reward: 1681.00, remain_bees: 45, step: 1200
Episode 860, Avg Reward: 310.51, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 870, Avg Reward: 403.48, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 880, Avg Reward: 277.88, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 890, Avg Reward: 265.73, Best Reward: 1681.00, remain_bees: 45, step: 1200
Episode 900, Avg Reward: 445.56, Best Reward: 1681.00, remain_bees: 43, step: 206
Episode 910, Avg Reward: 331.21, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 920, Avg Reward: 370.49, Best Reward: 1681.00, remain_bees: 46, step: 1200
Episode 930, Avg Reward: 299.33, Best Reward: 1681.00, remain_bees: 42, step: 1200
Episode 940, Avg Reward: 499.16, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 950, Avg Reward: 264.08, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 960, Avg Reward: 414.54, Best Reward: 1763.40, remain_bees: 39, step: 1200
Episode 970, Avg Reward: 276.10, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 980, Avg Reward: 333.32, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 990, Avg Reward: 327.60, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1000, Avg Reward: 347.56, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1010, Avg Reward: 293.74, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1020, Avg Reward: 323.10, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1030, Avg Reward: 318.92, Best Reward: 1763.40, remain_bees: 43, step: 1200
Episode 1040, Avg Reward: 267.00, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1050, Avg Reward: 296.61, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1060, Avg Reward: 362.22, Best Reward: 1763.40, remain_bees: 42, step: 1200
Episode 1070, Avg Reward: 358.79, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1080, Avg Reward: 286.65, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1090, Avg Reward: 141.78, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1100, Avg Reward: 358.83, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1110, Avg Reward: 394.68, Best Reward: 1763.40, remain_bees: 47, step: 1200
Episode 1120, Avg Reward: 210.22, Best Reward: 1763.40, remain_bees: 47, step: 1200
Episode 1130, Avg Reward: 244.90, Best Reward: 1763.40, remain_bees: 44, step: 1200
Episode 1140, Avg Reward: 302.92, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1150, Avg Reward: 332.02, Best Reward: 1763.40, remain_bees: 44, step: 1200
Episode 1160, Avg Reward: 395.47, Best Reward: 1763.40, remain_bees: 46, step: 1200
Episode 1170, Avg Reward: 293.19, Best Reward: 1763.40, remain_bees: 46, step: 1200
