Episode 720, Avg Reward: 271.02, Best Reward: 1232.60, remain_bees: 46, step: 1200
Episode 730, Avg Reward: 592.74, Best Reward: 1696.50, remain_bees: 31, step: 1200
Episode 740, Avg Reward: 389.97, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 750, Avg Reward: 328.35, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 760, Avg Reward: 285.01, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 770, Avg Reward: 312.71, Best Reward: 1696.50, remain_bees: 44, step: 1200
Episode 780, Avg Reward: 368.26, Best Reward: 1696.50, remain_bees: 48, step: 64
Episode 790, Avg Reward: 270.59, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 800, Avg Reward: 309.26, Best Reward: 1696.50, remain_bees: 46, step: 119
Episode 810, Avg Reward: 457.65, Best Reward: 1696.50, remain_bees: 48, step: 53
Episode 820, Avg Reward: 324.03, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 830, Avg Reward: 266.20, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 840, Avg Reward: 301.75, Best Reward: 1696.50, remain_bees: 44, step: 186
Episode 850, Avg Reward: 213.85, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 860, Avg Reward: 317.48, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 870, Avg Reward: 325.08, Best Reward: 1696.50, remain_bees: 45, step: 146
Episode 880, Avg Reward: 286.96, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 890, Avg Reward: 380.12, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 900, Avg Reward: 319.10, Best Reward: 1696.50, remain_bees: 47, step: 60
Episode 910, Avg Reward: 318.94, Best Reward: 1696.50, remain_bees: 46, step: 75
Episode 920, Avg Reward: 323.75, Best Reward: 1696.50, remain_bees: 46, step: 153
Episode 930, Avg Reward: 399.79, Best Reward: 1696.50, remain_bees: 43, step: 1200
Episode 940, Avg Reward: 346.02, Best Reward: 1696.50, remain_bees: 42, step: 1200
Episode 950, Avg Reward: 290.99, Best Reward: 1696.50, remain_bees: 48, step: 23
Episode 960, Avg Reward: 364.02, Best Reward: 1696.50, remain_bees: 47, step: 80
Episode 970, Avg Reward: 279.95, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 980, Avg Reward: 389.08, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 990, Avg Reward: 332.75, Best Reward: 1696.50, remain_bees: 46, step: 89
Episode 1000, Avg Reward: 340.98, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 1010, Avg Reward: 215.24, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1020, Avg Reward: 430.39, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 1030, Avg Reward: 287.66, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 1040, Avg Reward: 281.79, Best Reward: 1696.50, remain_bees: 44, step: 1200
Episode 1050, Avg Reward: 314.04, Best Reward: 1696.50, remain_bees: 46, step: 102
Episode 1060, Avg Reward: 294.78, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1070, Avg Reward: 352.84, Best Reward: 1696.50, remain_bees: 46, step: 81
Episode 1080, Avg Reward: 352.51, Best Reward: 1696.50, remain_bees: 49, step: 41
Episode 1090, Avg Reward: 299.42, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1100, Avg Reward: 340.92, Best Reward: 1696.50, remain_bees: 46, step: 58
Episode 1110, Avg Reward: 333.67, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1120, Avg Reward: 291.23, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1130, Avg Reward: 300.47, Best Reward: 1696.50, remain_bees: 44, step: 111
Episode 1140, Avg Reward: 440.00, Best Reward: 1696.50, remain_bees: 46, step: 67
Episode 1150, Avg Reward: 346.50, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 1160, Avg Reward: 348.55, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1170, Avg Reward: 298.23, Best Reward: 1696.50, remain_bees: 44, step: 1200
Episode 1180, Avg Reward: 387.92, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1190, Avg Reward: 333.54, Best Reward: 1696.50, remain_bees: 41, step: 195
Episode 1200, Avg Reward: 345.25, Best Reward: 1696.50, remain_bees: 47, step: 43
Episode 1210, Avg Reward: 377.32, Best Reward: 1696.50, remain_bees: 43, step: 123
Episode 1220, Avg Reward: 332.53, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1230, Avg Reward: 305.84, Best Reward: 1696.50, remain_bees: 46, step: 123
Episode 1240, Avg Reward: 222.22, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 1250, Avg Reward: 352.61, Best Reward: 1696.50, remain_bees: 47, step: 41
Episode 1260, Avg Reward: 409.56, Best Reward: 1696.50, remain_bees: 40, step: 210
Episode 1270, Avg Reward: 353.38, Best Reward: 1696.50, remain_bees: 42, step: 1200
Episode 1280, Avg Reward: 293.34, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1290, Avg Reward: 351.83, Best Reward: 1696.50, remain_bees: 46, step: 82
Episode 1300, Avg Reward: 336.56, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1310, Avg Reward: 354.58, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1320, Avg Reward: 311.14, Best Reward: 1696.50, remain_bees: 44, step: 193
Episode 1330, Avg Reward: 315.87, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1340, Avg Reward: 245.58, Best Reward: 1696.50, remain_bees: 47, step: 1200
Episode 1350, Avg Reward: 242.91, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 1360, Avg Reward: 448.90, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 1370, Avg Reward: 134.41, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1380, Avg Reward: 229.01, Best Reward: 1696.50, remain_bees: 46, step: 1200
Episode 1390, Avg Reward: 368.11, Best Reward: 1696.50, remain_bees: 45, step: 190
Episode 1400, Avg Reward: 406.69, Best Reward: 1696.50, remain_bees: 45, step: 1200
Episode 1410, Avg Reward: 421.49, Best Reward: 1696.50, remain_bees: 46, step: 310
