Episode 720, Avg Reward: 269.02, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 730, Avg Reward: 309.68, Best Reward: 1300.70, remain_bees: 46, step: 132
Episode 740, Avg Reward: 397.79, Best Reward: 1300.70, remain_bees: 42, step: 1200
Episode 750, Avg Reward: 448.05, Best Reward: 1300.70, remain_bees: 43, step: 237
Episode 760, Avg Reward: 466.61, Best Reward: 1300.70, remain_bees: 43, step: 141
Episode 770, Avg Reward: 224.01, Best Reward: 1300.70, remain_bees: 45, step: 109
Episode 780, Avg Reward: 430.41, Best Reward: 1300.70, remain_bees: 45, step: 112
Episode 790, Avg Reward: 333.11, Best Reward: 1300.70, remain_bees: 45, step: 213
Episode 800, Avg Reward: 327.94, Best Reward: 1300.70, remain_bees: 42, step: 187
Episode 810, Avg Reward: 302.44, Best Reward: 1300.70, remain_bees: 44, step: 1200
Episode 820, Avg Reward: 276.69, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 830, Avg Reward: 375.84, Best Reward: 1300.70, remain_bees: 44, step: 74
Episode 840, Avg Reward: 329.41, Best Reward: 1300.70, remain_bees: 44, step: 178
Episode 850, Avg Reward: 273.25, Best Reward: 1300.70, remain_bees: 44, step: 1200
Episode 860, Avg Reward: 320.56, Best Reward: 1300.70, remain_bees: 46, step: 75
Episode 870, Avg Reward: 232.93, Best Reward: 1300.70, remain_bees: 46, step: 110
Episode 880, Avg Reward: 364.76, Best Reward: 1300.70, remain_bees: 45, step: 75
Episode 890, Avg Reward: 231.48, Best Reward: 1300.70, remain_bees: 48, step: 97
Episode 900, Avg Reward: 441.23, Best Reward: 1300.70, remain_bees: 38, step: 396
Episode 910, Avg Reward: 365.18, Best Reward: 1300.70, remain_bees: 45, step: 1200
Episode 920, Avg Reward: 239.49, Best Reward: 1300.70, remain_bees: 47, step: 1200
Episode 930, Avg Reward: 288.70, Best Reward: 1300.70, remain_bees: 48, step: 1200
Episode 940, Avg Reward: 321.00, Best Reward: 1300.70, remain_bees: 46, step: 121
Episode 950, Avg Reward: 313.18, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 960, Avg Reward: 412.27, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 970, Avg Reward: 253.02, Best Reward: 1300.70, remain_bees: 45, step: 304
Episode 980, Avg Reward: 235.05, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 990, Avg Reward: 353.06, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 1000, Avg Reward: 196.76, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 1010, Avg Reward: 284.68, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 1020, Avg Reward: 279.89, Best Reward: 1300.70, remain_bees: 46, step: 120
Episode 1030, Avg Reward: 303.78, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 1040, Avg Reward: 293.59, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 1050, Avg Reward: 313.43, Best Reward: 1300.70, remain_bees: 46, step: 228
Episode 1060, Avg Reward: 251.27, Best Reward: 1300.70, remain_bees: 44, step: 1200
Episode 1070, Avg Reward: 236.15, Best Reward: 1300.70, remain_bees: 46, step: 236
Episode 1080, Avg Reward: 296.37, Best Reward: 1300.70, remain_bees: 46, step: 1200
Episode 1090, Avg Reward: 352.17, Best Reward: 1300.70, remain_bees: 45, step: 151
Episode 1100, Avg Reward: 262.82, Best Reward: 1300.70, remain_bees: 46, step: 82
Episode 1110, Avg Reward: 288.83, Best Reward: 1300.70, remain_bees: 48, step: 1200
Episode 1120, Avg Reward: 294.41, Best Reward: 1300.70, remain_bees: 46, step: 117
Episode 1130, Avg Reward: 398.72, Best Reward: 1300.70, remain_bees: 41, step: 196
Episode 1140, Avg Reward: 260.39, Best Reward: 1300.70, remain_bees: 45, step: 153
Episode 1150, Avg Reward: 282.62, Best Reward: 1300.70, remain_bees: 45, step: 1200
Episode 1160, Avg Reward: 338.58, Best Reward: 1300.70, remain_bees: 46, step: 175
Episode 1170, Avg Reward: 312.14, Best Reward: 1300.70, remain_bees: 47, step: 70
Episode 1180, Avg Reward: 233.08, Best Reward: 1300.70, remain_bees: 46, step: 147
Episode 1190, Avg Reward: 242.53, Best Reward: 1300.70, remain_bees: 46, step: 1200
Training completed!
