Episode 740, Avg Reward: 304.15, Best Reward: 727.70, remain_bees: 47, step: 93
Episode 750, Avg Reward: 291.65, Best Reward: 727.70, remain_bees: 46, step: 179
Episode 760, Avg Reward: 295.46, Best Reward: 727.70, remain_bees: 46, step: 100
Episode 770, Avg Reward: 282.33, Best Reward: 727.70, remain_bees: 45, step: 144
Episode 780, Avg Reward: 301.71, Best Reward: 727.70, remain_bees: 45, step: 250
Episode 790, Avg Reward: 307.43, Best Reward: 727.70, remain_bees: 46, step: 141
Episode 800, Avg Reward: 245.14, Best Reward: 727.70, remain_bees: 45, step: 163
Episode 810, Avg Reward: 297.51, Best Reward: 727.70, remain_bees: 47, step: 111
Episode 820, Avg Reward: 198.84, Best Reward: 727.70, remain_bees: 46, step: 145
Episode 830, Avg Reward: 288.14, Best Reward: 727.70, remain_bees: 46, step: 109
Episode 840, Avg Reward: 276.87, Best Reward: 727.70, remain_bees: 48, step: 121
Episode 850, Avg Reward: 307.89, Best Reward: 727.70, remain_bees: 47, step: 104
Episode 860, Avg Reward: 253.05, Best Reward: 727.70, remain_bees: 49, step: 64
Episode 870, Avg Reward: 238.03, Best Reward: 727.70, remain_bees: 47, step: 111
Episode 880, Avg Reward: 264.08, Best Reward: 727.70, remain_bees: 49, step: 101
Episode 890, Avg Reward: 163.63, Best Reward: 727.70, remain_bees: 48, step: 88
Episode 900, Avg Reward: 254.25, Best Reward: 727.70, remain_bees: 46, step: 155
Episode 910, Avg Reward: 306.27, Best Reward: 727.70, remain_bees: 47, step: 75
Episode 920, Avg Reward: 268.34, Best Reward: 727.70, remain_bees: 49, step: 82
Episode 930, Avg Reward: 268.98, Best Reward: 727.70, remain_bees: 46, step: 157
Episode 940, Avg Reward: 275.45, Best Reward: 727.70, remain_bees: 47, step: 91
Episode 950, Avg Reward: 266.55, Best Reward: 727.70, remain_bees: 46, step: 110
Episode 960, Avg Reward: 301.81, Best Reward: 727.70, remain_bees: 47, step: 70
Episode 970, Avg Reward: 195.77, Best Reward: 727.70, remain_bees: 46, step: 87
Episode 980, Avg Reward: 222.97, Best Reward: 727.70, remain_bees: 49, step: 58
Episode 990, Avg Reward: 298.15, Best Reward: 727.70, remain_bees: 47, step: 213
Episode 1000, Avg Reward: 261.48, Best Reward: 741.60, remain_bees: 47, step: 141
Episode 1010, Avg Reward: 336.39, Best Reward: 741.60, remain_bees: 47, step: 244
Episode 1020, Avg Reward: 282.24, Best Reward: 741.60, remain_bees: 45, step: 321
Episode 1030, Avg Reward: 267.39, Best Reward: 741.60, remain_bees: 46, step: 148
Episode 1040, Avg Reward: 279.00, Best Reward: 741.60, remain_bees: 47, step: 128
Episode 1050, Avg Reward: 216.66, Best Reward: 741.60, remain_bees: 47, step: 132
Episode 1060, Avg Reward: 354.65, Best Reward: 741.60, remain_bees: 44, step: 92
Episode 1070, Avg Reward: 270.27, Best Reward: 741.60, remain_bees: 47, step: 82
Episode 1080, Avg Reward: 284.17, Best Reward: 741.60, remain_bees: 48, step: 59
Episode 1090, Avg Reward: 310.88, Best Reward: 741.60, remain_bees: 45, step: 204
Episode 1100, Avg Reward: 323.41, Best Reward: 741.60, remain_bees: 47, step: 96
Episode 1110, Avg Reward: 222.99, Best Reward: 741.60, remain_bees: 46, step: 139
Episode 1120, Avg Reward: 251.49, Best Reward: 741.60, remain_bees: 50, step: 37
Episode 1130, Avg Reward: 293.50, Best Reward: 741.60, remain_bees: 46, step: 163
Episode 1140, Avg Reward: 292.03, Best Reward: 741.60, remain_bees: 46, step: 151
Episode 1150, Avg Reward: 250.51, Best Reward: 741.60, remain_bees: 46, step: 167
Episode 1160, Avg Reward: 279.00, Best Reward: 741.60, remain_bees: 46, step: 121
Episode 1170, Avg Reward: 292.55, Best Reward: 741.60, remain_bees: 46, step: 82
Episode 1180, Avg Reward: 263.74, Best Reward: 741.60, remain_bees: 47, step: 97
Episode 1190, Avg Reward: 348.57, Best Reward: 741.60, remain_bees: 46, step: 61
Episode 1200, Avg Reward: 253.01, Best Reward: 741.60, remain_bees: 48, step: 104
Episode 1210, Avg Reward: 301.27, Best Reward: 741.60, remain_bees: 46, step: 114
Episode 1220, Avg Reward: 240.96, Best Reward: 741.60, remain_bees: 47, step: 91
Episode 1230, Avg Reward: 280.62, Best Reward: 741.60, remain_bees: 46, step: 140
Episode 1240, Avg Reward: 267.17, Best Reward: 741.60, remain_bees: 47, step: 65
Episode 1250, Avg Reward: 206.18, Best Reward: 741.60, remain_bees: 47, step: 79
Episode 1260, Avg Reward: 286.63, Best Reward: 741.60, remain_bees: 46, step: 196
Episode 1270, Avg Reward: 141.26, Best Reward: 741.60, remain_bees: 49, step: 65
Episode 1280, Avg Reward: 154.22, Best Reward: 741.60, remain_bees: 47, step: 110
Episode 1290, Avg Reward: 344.43, Best Reward: 741.60, remain_bees: 46, step: 174
Episode 1300, Avg Reward: 276.67, Best Reward: 741.60, remain_bees: 47, step: 97
Episode 1310, Avg Reward: 264.06, Best Reward: 741.60, remain_bees: 46, step: 214
Episode 1320, Avg Reward: 242.28, Best Reward: 741.60, remain_bees: 45, step: 83
Episode 1330, Avg Reward: 269.75, Best Reward: 741.60, remain_bees: 47, step: 106
Episode 1340, Avg Reward: 294.22, Best Reward: 741.60, remain_bees: 47, step: 133
Episode 1350, Avg Reward: 297.06, Best Reward: 741.60, remain_bees: 46, step: 136
Episode 1360, Avg Reward: 280.06, Best Reward: 741.60, remain_bees: 49, step: 96
Episode 1370, Avg Reward: 325.35, Best Reward: 741.60, remain_bees: 49, step: 72
Episode 1380, Avg Reward: 293.72, Best Reward: 741.60, remain_bees: 47, step: 81
Episode 1390, Avg Reward: 245.31, Best Reward: 741.60, remain_bees: 49, step: 64
Episode 1400, Avg Reward: 267.67, Best Reward: 741.60, remain_bees: 46, step: 166
Episode 1410, Avg Reward: 317.59, Best Reward: 753.50, remain_bees: 46, step: 118
Episode 1420, Avg Reward: 314.49, Best Reward: 753.50, remain_bees: 46, step: 136
Episode 1430, Avg Reward: 250.69, Best Reward: 753.50, remain_bees: 45, step: 147
Episode 1440, Avg Reward: 189.43, Best Reward: 753.50, remain_bees: 47, step: 83
Episode 1450, Avg Reward: 231.04, Best Reward: 753.50, remain_bees: 46, step: 139
Episode 1460, Avg Reward: 211.24, Best Reward: 753.50, remain_bees: 47, step: 64
Episode 1470, Avg Reward: 256.28, Best Reward: 753.50, remain_bees: 47, step: 134
Episode 1480, Avg Reward: 292.64, Best Reward: 753.50, remain_bees: 45, step: 60
Episode 1490, Avg Reward: 316.31, Best Reward: 753.50, remain_bees: 47, step: 72
Episode 1500, Avg Reward: 259.87, Best Reward: 753.50, remain_bees: 46, step: 438
Episode 1510, Avg Reward: 256.13, Best Reward: 753.50, remain_bees: 45, step: 205
Episode 1520, Avg Reward: 295.70, Best Reward: 753.50, remain_bees: 47, step: 308
Episode 1530, Avg Reward: 343.29, Best Reward: 753.50, remain_bees: 49, step: 106
Episode 1540, Avg Reward: 219.48, Best Reward: 753.50, remain_bees: 47, step: 127
Episode 1550, Avg Reward: 253.89, Best Reward: 753.50, remain_bees: 48, step: 62
Episode 1560, Avg Reward: 279.84, Best Reward: 753.50, remain_bees: 47, step: 165
Episode 1570, Avg Reward: 222.17, Best Reward: 753.50, remain_bees: 49, step: 79
Episode 1580, Avg Reward: 258.67, Best Reward: 753.50, remain_bees: 48, step: 116
Episode 1590, Avg Reward: 296.00, Best Reward: 753.50, remain_bees: 46, step: 71
Episode 1600, Avg Reward: 234.05, Best Reward: 753.50, remain_bees: 43, step: 92
Episode 1610, Avg Reward: 220.42, Best Reward: 753.50, remain_bees: 48, step: 145
Episode 1620, Avg Reward: 325.21, Best Reward: 753.50, remain_bees: 47, step: 128
Episode 1630, Avg Reward: 246.85, Best Reward: 753.50, remain_bees: 48, step: 73
Episode 1640, Avg Reward: 200.42, Best Reward: 753.50, remain_bees: 44, step: 99
Episode 1650, Avg Reward: 211.12, Best Reward: 753.50, remain_bees: 48, step: 106
Episode 1660, Avg Reward: 375.78, Best Reward: 753.50, remain_bees: 46, step: 150
Episode 1670, Avg Reward: 262.39, Best Reward: 753.50, remain_bees: 46, step: 362
Episode 1680, Avg Reward: 299.25, Best Reward: 753.50, remain_bees: 45, step: 140
Episode 1690, Avg Reward: 229.52, Best Reward: 753.50, remain_bees: 49, step: 39
Episode 1700, Avg Reward: 203.71, Best Reward: 753.50, remain_bees: 48, step: 89
Episode 1710, Avg Reward: 212.76, Best Reward: 753.50, remain_bees: 47, step: 130
Episode 1720, Avg Reward: 269.19, Best Reward: 753.50, remain_bees: 47, step: 147
Episode 1730, Avg Reward: 348.27, Best Reward: 753.50, remain_bees: 46, step: 87
Episode 1740, Avg Reward: 211.90, Best Reward: 753.50, remain_bees: 48, step: 69
Episode 1750, Avg Reward: 285.37, Best Reward: 753.50, remain_bees: 47, step: 51
Episode 1760, Avg Reward: 259.13, Best Reward: 753.50, remain_bees: 47, step: 88
Episode 1770, Avg Reward: 247.48, Best Reward: 753.50, remain_bees: 48, step: 105
Episode 1780, Avg Reward: 225.33, Best Reward: 753.50, remain_bees: 47, step: 108
Episode 1790, Avg Reward: 282.02, Best Reward: 753.50, remain_bees: 46, step: 191
Episode 1800, Avg Reward: 272.35, Best Reward: 753.50, remain_bees: 46, step: 167
Episode 1810, Avg Reward: 256.76, Best Reward: 753.50, remain_bees: 48, step: 118
Episode 1820, Avg Reward: 262.01, Best Reward: 753.50, remain_bees: 48, step: 200
Episode 1830, Avg Reward: 273.90, Best Reward: 753.50, remain_bees: 47, step: 63
Episode 1840, Avg Reward: 251.55, Best Reward: 753.50, remain_bees: 47, step: 193
Episode 1850, Avg Reward: 248.75, Best Reward: 753.50, remain_bees: 48, step: 99
Episode 1860, Avg Reward: 259.99, Best Reward: 753.50, remain_bees: 47, step: 148
Episode 1870, Avg Reward: 243.44, Best Reward: 753.50, remain_bees: 47, step: 87
Episode 1880, Avg Reward: 302.88, Best Reward: 753.50, remain_bees: 46, step: 64
Episode 1890, Avg Reward: 225.88, Best Reward: 753.50, remain_bees: 45, step: 78
Episode 1900, Avg Reward: 332.94, Best Reward: 753.50, remain_bees: 43, step: 172
Episode 1910, Avg Reward: 284.79, Best Reward: 753.50, remain_bees: 47, step: 78
Episode 1920, Avg Reward: 305.63, Best Reward: 753.50, remain_bees: 46, step: 143
Episode 1930, Avg Reward: 258.97, Best Reward: 753.50, remain_bees: 45, step: 98
Episode 1940, Avg Reward: 263.84, Best Reward: 753.50, remain_bees: 49, step: 86
Episode 1950, Avg Reward: 235.07, Best Reward: 753.50, remain_bees: 46, step: 103
Episode 1960, Avg Reward: 263.30, Best Reward: 753.50, remain_bees: 47, step: 59
Episode 1970, Avg Reward: 218.77, Best Reward: 753.50, remain_bees: 46, step: 129
Episode 1980, Avg Reward: 230.92, Best Reward: 753.50, remain_bees: 47, step: 120
Episode 1990, Avg Reward: 318.27, Best Reward: 753.50, remain_bees: 46, step: 237
Episode 2000, Avg Reward: 231.13, Best Reward: 753.50, remain_bees: 49, step: 62
Episode 2010, Avg Reward: 239.49, Best Reward: 753.50, remain_bees: 46, step: 121
Episode 2020, Avg Reward: 312.03, Best Reward: 753.50, remain_bees: 47, step: 125
Episode 2030, Avg Reward: 222.55, Best Reward: 753.50, remain_bees: 48, step: 128
Episode 2040, Avg Reward: 285.76, Best Reward: 753.50, remain_bees: 46, step: 105
Episode 2050, Avg Reward: 290.64, Best Reward: 753.50, remain_bees: 44, step: 99
Episode 2060, Avg Reward: 233.13, Best Reward: 753.50, remain_bees: 48, step: 101
Episode 2070, Avg Reward: 250.50, Best Reward: 753.50, remain_bees: 47, step: 123
Episode 2080, Avg Reward: 325.26, Best Reward: 753.50, remain_bees: 46, step: 153
Episode 2090, Avg Reward: 234.24, Best Reward: 753.50, remain_bees: 47, step: 136
Episode 2100, Avg Reward: 274.75, Best Reward: 753.50, remain_bees: 48, step: 69
Episode 2110, Avg Reward: 288.22, Best Reward: 753.50, remain_bees: 45, step: 63
Episode 2120, Avg Reward: 281.05, Best Reward: 753.50, remain_bees: 46, step: 284
Episode 2130, Avg Reward: 290.31, Best Reward: 753.50, remain_bees: 44, step: 133
Episode 2140, Avg Reward: 174.09, Best Reward: 753.50, remain_bees: 49, step: 52
Episode 2150, Avg Reward: 286.41, Best Reward: 753.50, remain_bees: 46, step: 115
Episode 2160, Avg Reward: 222.54, Best Reward: 753.50, remain_bees: 49, step: 104
Episode 2170, Avg Reward: 264.89, Best Reward: 753.50, remain_bees: 46, step: 245
Episode 2180, Avg Reward: 319.94, Best Reward: 753.50, remain_bees: 47, step: 110
Episode 2190, Avg Reward: 260.30, Best Reward: 753.50, remain_bees: 46, step: 212
Episode 2200, Avg Reward: 284.18, Best Reward: 753.50, remain_bees: 46, step: 145
Episode 2210, Avg Reward: 272.74, Best Reward: 753.50, remain_bees: 46, step: 131
Episode 2220, Avg Reward: 231.38, Best Reward: 753.50, remain_bees: 47, step: 224
Episode 2230, Avg Reward: 304.84, Best Reward: 753.50, remain_bees: 50, step: 34
Episode 2240, Avg Reward: 281.35, Best Reward: 753.50, remain_bees: 47, step: 59
Episode 2250, Avg Reward: 304.19, Best Reward: 753.50, remain_bees: 47, step: 108
Episode 2260, Avg Reward: 263.19, Best Reward: 753.50, remain_bees: 48, step: 52
Episode 2270, Avg Reward: 310.76, Best Reward: 753.50, remain_bees: 48, step: 109
Episode 2280, Avg Reward: 264.73, Best Reward: 753.50, remain_bees: 49, step: 35
Episode 2290, Avg Reward: 206.52, Best Reward: 753.50, remain_bees: 50, step: 46
Episode 2300, Avg Reward: 291.18, Best Reward: 753.50, remain_bees: 47, step: 38
Episode 2310, Avg Reward: 245.19, Best Reward: 753.50, remain_bees: 46, step: 218
Episode 2320, Avg Reward: 249.43, Best Reward: 753.50, remain_bees: 47, step: 132
Episode 2330, Avg Reward: 294.80, Best Reward: 753.50, remain_bees: 46, step: 87
Episode 2340, Avg Reward: 201.24, Best Reward: 753.50, remain_bees: 47, step: 88
Episode 2350, Avg Reward: 286.06, Best Reward: 753.50, remain_bees: 50, step: 81
Episode 2360, Avg Reward: 203.21, Best Reward: 753.50, remain_bees: 49, step: 65
Episode 2370, Avg Reward: 288.77, Best Reward: 753.50, remain_bees: 47, step: 136
Episode 2380, Avg Reward: 265.63, Best Reward: 753.50, remain_bees: 46, step: 322
Episode 2390, Avg Reward: 331.27, Best Reward: 753.50, remain_bees: 46, step: 177
Episode 2400, Avg Reward: 220.84, Best Reward: 753.50, remain_bees: 48, step: 61
Episode 2410, Avg Reward: 289.00, Best Reward: 753.50, remain_bees: 46, step: 63
Episode 2420, Avg Reward: 258.33, Best Reward: 753.50, remain_bees: 46, step: 191
Episode 2430, Avg Reward: 181.20, Best Reward: 753.50, remain_bees: 48, step: 77
Episode 2440, Avg Reward: 240.03, Best Reward: 753.50, remain_bees: 48, step: 60
Episode 2450, Avg Reward: 238.88, Best Reward: 753.50, remain_bees: 48, step: 70
Episode 2460, Avg Reward: 306.81, Best Reward: 753.50, remain_bees: 46, step: 92
Episode 2470, Avg Reward: 237.85, Best Reward: 753.50, remain_bees: 46, step: 163
Episode 2480, Avg Reward: 193.23, Best Reward: 753.50, remain_bees: 46, step: 280
Episode 2490, Avg Reward: 249.42, Best Reward: 753.50, remain_bees: 50, step: 42
Episode 2500, Avg Reward: 236.25, Best Reward: 753.50, remain_bees: 46, step: 82
Episode 2510, Avg Reward: 179.63, Best Reward: 753.50, remain_bees: 50, step: 50
Episode 2520, Avg Reward: 249.31, Best Reward: 753.50, remain_bees: 46, step: 163
Episode 2530, Avg Reward: 228.07, Best Reward: 753.50, remain_bees: 47, step: 80
Episode 2540, Avg Reward: 205.01, Best Reward: 753.50, remain_bees: 46, step: 103
Episode 2550, Avg Reward: 283.78, Best Reward: 753.50, remain_bees: 46, step: 199
Episode 2560, Avg Reward: 273.96, Best Reward: 753.50, remain_bees: 46, step: 192
Episode 2570, Avg Reward: 221.43, Best Reward: 753.50, remain_bees: 48, step: 68
